,id,name,cost,position,home_team,away_team,kickoff_time,is_home,team_x
0,1,Folarin Balogun,44,FWD,Aston Villa,Arsenal,2023-12-09T17:30:00Z,False,Arsenal
1,2,Cédric Alves Soares,39,DEF,Aston Villa,Arsenal,2023-12-09T17:30:00Z,False,Arsenal
2,3,Mohamed Elneny,44,MID,Aston Villa,Arsenal,2023-12-09T17:30:00Z,False,Arsenal
3,4,Fábio Ferreira Vieira,54,MID,Aston Villa,Arsenal,2023-12-09T17:30:00Z,False,Arsenal
4,5,Gabriel dos Santos Magalhães,49,DEF,Aston Villa,Arsenal,2023-12-09T17:30:00Z,False,Arsenal
5,6,Kai Havertz,71,MID,Aston Villa,Arsenal,2023-12-09T17:30:00Z,False,Arsenal
6,8,Gabriel Fernando de Jesus,79,FWD,Aston Villa,Arsenal,2023-12-09T17:30:00Z,False,Arsenal
7,9,Jorge Luiz Frello Filho,53,MID,Aston Villa,Arsenal,2023-12-09T17:30:00Z,False,Arsenal
8,10,Jakub Kiwior,43,DEF,Aston Villa,Arsenal,2023-12-09T17:30:00Z,False,Arsenal
9,11,Marcus Oliveira Alencar,45,MID,Aston Villa,Arsenal,2023-12-09T17:30:00Z,False,Arsenal
10,12,Gabriel Martinelli Silva,78,MID,Aston Villa,Arsenal,2023-12-09T17:30:00Z,False,Arsenal
11,13,Eddie Nketiah,55,FWD,Aston Villa,Arsenal,2023-12-09T17:30:00Z,False,Arsenal
12,14,Martin Ødegaard,83,MID,Aston Villa,Arsenal,2023-12-09T17:30:00Z,False,Arsenal
13,15,Thomas Partey,48,MID,Aston Villa,Arsenal,2023-12-09T17:30:00Z,False,Arsenal
14,16,Nicolas Pépé,49,MID,Aston Villa,Arsenal,2023-12-09T17:30:00Z,False,Arsenal
15,17,Aaron Ramsdale,46,GKP,Aston Villa,Arsenal,2023-12-09T17:30:00Z,False,Arsenal
16,18,Rúnar Alex Rúnarsson,40,GKP,Aston Villa,Arsenal,2023-12-09T17:30:00Z,False,Arsenal
17,19,Bukayo Saka,89,MID,Aston Villa,Arsenal,2023-12-09T17:30:00Z,False,Arsenal
18,20,William Saliba,55,DEF,Aston Villa,Arsenal,2023-12-09T17:30:00Z,False,Arsenal
19,22,Emile Smith Rowe,53,MID,Aston Villa,Arsenal,2023-12-09T17:30:00Z,False,Arsenal
20,24,Kieran Tierney,44,DEF,Aston Villa,Arsenal,2023-12-09T17:30:00Z,False,Arsenal
21,25,Takehiro Tomiyasu,45,DEF,Aston Villa,Arsenal,2023-12-09T17:30:00Z,False,Arsenal
22,26,Leandro Trossard,65,MID,Aston Villa,Arsenal,2023-12-09T17:30:00Z,False,Arsenal
23,29,Benjamin White,56,DEF,Aston Villa,Arsenal,2023-12-09T17:30:00Z,False,Arsenal
