,id,name,cost,position,home_team,away_team,kickoff_time,is_home,team_x
0,1,Folarin Balogun,44,FWD,Newcastle,Arsenal,2023-11-04T17:30:00Z,False,Arsenal
1,2,Cédric Alves Soares,39,DEF,Newcastle,Arsenal,2023-11-04T17:30:00Z,False,Arsenal
2,3,Mohamed Elneny,44,MID,Newcastle,Arsenal,2023-11-04T17:30:00Z,False,Arsenal
3,4,Fábio Ferreira Vieira,54,MID,Newcastle,Arsenal,2023-11-04T17:30:00Z,False,Arsenal
4,5,Gabriel dos Santos Magalhães,48,DEF,Newcastle,Arsenal,2023-11-04T17:30:00Z,False,Arsenal
5,6,Kai Havertz,71,MID,Newcastle,Arsenal,2023-11-04T17:30:00Z,False,Arsenal
6,8,Gabriel Fernando de Jesus,78,FWD,Newcastle,Arsenal,2023-11-04T17:30:00Z,False,Arsenal
7,9,Jorge Luiz Frello Filho,53,MID,Newcastle,Arsenal,2023-11-04T17:30:00Z,False,Arsenal
8,10,Jakub Kiwior,43,DEF,Newcastle,Arsenal,2023-11-04T17:30:00Z,False,Arsenal
9,11,Marcus Oliveira Alencar,45,MID,Newcastle,Arsenal,2023-11-04T17:30:00Z,False,Arsenal
10,12,Gabriel Martinelli Silva,77,MID,Newcastle,Arsenal,2023-11-04T17:30:00Z,False,Arsenal
11,13,Eddie Nketiah,56,FWD,Newcastle,Arsenal,2023-11-04T17:30:00Z,False,Arsenal
12,14,Martin Ødegaard,84,MID,Newcastle,Arsenal,2023-11-04T17:30:00Z,False,Arsenal
13,15,Thomas Partey,48,MID,Newcastle,Arsenal,2023-11-04T17:30:00Z,False,Arsenal
14,16,Nicolas Pépé,49,MID,Newcastle,Arsenal,2023-11-04T17:30:00Z,False,Arsenal
15,17,Aaron Ramsdale,47,GKP,Newcastle,Arsenal,2023-11-04T17:30:00Z,False,Arsenal
16,18,Rúnar Alex Rúnarsson,40,GKP,Newcastle,Arsenal,2023-11-04T17:30:00Z,False,Arsenal
17,19,Bukayo Saka,86,MID,Newcastle,Arsenal,2023-11-04T17:30:00Z,False,Arsenal
18,20,William Saliba,52,DEF,Newcastle,Arsenal,2023-11-04T17:30:00Z,False,Arsenal
19,22,Emile Smith Rowe,53,MID,Newcastle,Arsenal,2023-11-04T17:30:00Z,False,Arsenal
20,24,Kieran Tierney,44,DEF,Newcastle,Arsenal,2023-11-04T17:30:00Z,False,Arsenal
21,25,Takehiro Tomiyasu,45,DEF,Newcastle,Arsenal,2023-11-04T17:30:00Z,False,Arsenal
22,26,Leandro Trossard,65,MID,Newcastle,Arsenal,2023-11-04T17:30:00Z,False,Arsenal
23,29,Benjamin White,57,DEF,Newcastle,Arsenal,2023-11-04T17:30:00Z,False,Arsenal
24,30,Granit Xhaka,60,MID,Newcastle,Arsenal,2023-11-04T17:30:00Z,False,Arsenal
25,31,Oleksandr Zinchenko,49,DEF,Newcastle,Arsenal,2023-11-04T17:30:00Z,False,Arsenal
